,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
200004,-4.53,-0.19,-13.51,2.4,-4.52,-5.38
200005,-3.3,-1.79,-8.07,5.95,2.43,-7.25
200006,2.21,1.72,21.01,-6.58,-0.93,7.81
200007,-0.82,1.18,-4.9,-5.32,-1.39,-1.34
200008,4.93,4.92,11.91,5.25,3.56,9.74
200009,-8.59,-0.65,-4.06,-6.53,1.1,-7.12
200010,-7.42,-1.44,-7.58,3.7,2.16,-5.1
200011,-14.2,-5.78,-13.25,-8.88,-3.79,-14.47
200012,-0.17,6.63,7.99,-1.56,0.87,3.76
200101,30.38,8.24,4.25,18.64,2.47,-5.83
200102,-14.89,-1.9,-4,-17.3,-7.88,-3.06
200103,-9.81,-2.1,-1.3,-11.52,-5.7,-2.94
200104,13.3,5.87,7.04,13.63,5.91,4.07
200105,5.4,5.48,5.77,-1.69,2.15,2.35
200106,4.43,4.94,5.37,-1.92,-2.22,-2.09
200107,-9.19,-1.5,-1.72,-3.31,-0.16,0.38
200108,-8.05,-0.85,-3.01,-9.14,-4.67,-3.12
200109,-22.39,-12.03,-9.87,-15.9,-3.98,-5.45
200110,17.17,5.13,5.51,4.57,0.84,-0.71
200111,15.5,6.62,5.84,12.11,5.25,4.4
200112,9.48,6.8,6.04,-0.74,2.44,2.83
200201,-5.37,-0.66,1.43,-2.41,-0.25,-1.72
200202,-9.52,-0.72,-1.96,-5.84,-0.16,0.25
200203,11.15,9.12,8.55,4.71,3.59,4.04
200204,-5.03,2.36,0.67,-9.62,-4.83,-0.06
200205,-8.23,-2.99,-2.72,-1.75,-0.36,-0.94
200206,-10.9,-3.27,-1.46,-8,-7.04,-5.37
200207,-18.82,-12.68,-13.01,-8.51,-6.37,-6.79
200208,-1.67,1.32,0.59,-0.31,1.69,1.22
200209,-13.47,-5.58,-4.58,-15.15,-9.27,-5.77
200210,7.4,2.2,4.52,12.69,6.04,4.41
200211,23.68,5.75,3.74,11.03,3.07,-1.69
200212,-11.12,-3.72,-1.46,-10.36,-4.37,-0.74
200301,-2.99,-2.44,-0.97,-2.72,-2.97,-1.65
200302,-4.37,-3.22,-1.94,-1.32,-2.09,-1.41
200303,1.24,0.64,2.45,-0.23,1.59,1.53
200304,16.37,9.21,7.48,14.82,7.69,5.04
200305,19.2,9.87,7.91,13.74,5.32,3.62
200306,4.51,2.25,2.97,2.12,0.8,1.66
200307,7.39,5.56,7.58,3.37,1.33,2.7
200308,5.69,3.83,5.32,2.87,2.05,2.01
200309,-0.99,-0.91,-0.5,-0.82,-1.15,-1.68
200310,7.1,7.83,10.07,4.88,4.03,9.9
200311,3.06,4.07,4.02,0.67,1.06,2.62
200312,5.99,3.11,1.03,7.12,4.21,0.93
200401,2.89,3.32,6.9,1.15,2.4,2.31
200402,1.36,1.59,0.02,1.46,2.07,0.5
200403,0.91,1.03,-0.21,-2.02,-1.06,-0.57
200404,-1.89,-2.33,-6.37,0.8,-2.51,-5.48
200405,-0.19,0.97,1.88,0.7,1.82,1.63
200406,2.65,4.35,4.66,1.57,1.31,3.66
200407,-7.67,-5.71,-7.61,-2.46,-3.57,-7.09
200408,-0.46,-0.46,-2.33,0.62,0.33,-0.7
200409,3.24,4.41,7.43,-0.72,1.09,6.08
200410,2.77,2.55,0.89,2.63,0.59,1.76
200411,8.24,8.25,9.97,2.19,4.6,6.79
200412,5.7,2.38,3.11,4.51,3.82,1.36
200501,-6.84,-3.13,-2.38,-3.56,-1.59,-1.92
200502,0.25,0.93,3.6,0.87,2.26,4.26
200503,-3.31,-1.89,-3.2,-2.36,-1.16,-1.66
200504,-7.3,-4.93,-6.15,-1.33,-1.44,-3.86
200505,6.62,5.95,7.29,3.87,3.09,4.09
200506,3.31,4.07,4.05,-0.36,-0.45,3
200507,7.24,6.33,6.49,3.91,3.44,4.79
200508,-2.07,-2.11,-0.75,-1.6,-1.16,1.24
200509,-1.09,0.32,1.73,-0.6,0.86,3.45
200510,-3.44,-2.61,-3.06,0.13,-2.1,-3.03
200511,4.82,4.05,5.18,3.51,4.06,3.86
200512,-0.05,-0.33,0.06,-0.39,-0.2,1.05
200601,8.51,6.23,10.83,2.83,1.38,5.57
200602,-0.43,0.87,-1.19,0.93,0.88,-2.01
200603,3.25,4.11,5.32,2.23,0.54,2.69
200604,-0.35,-0.08,0.79,0.99,1.31,1.13
200605,-4.13,-4.11,-6.95,-1.02,-3.02,-5.6
200606,-2.29,0.09,-0.57,-0.68,0.42,0.68
200607,-3.69,-2.37,-5.11,0.32,0.99,-2.5
200608,4.55,2.64,1.65,4.16,2.72,0.3
200609,1.62,0.96,0.68,3.08,2.31,2.1
200610,6.22,5.14,5.57,3.98,2.72,4.23
200611,3.72,2.25,2.41,3.06,1.49,2.31
200612,0.23,0.85,0.71,-0.06,1.91,1.03
200701,2.04,1.03,2.1,1.96,1.51,2.38
200702,-0.03,-0.47,-0.69,-0.57,-1.44,-2.62
200703,0.09,1.25,1.88,-0.44,0.4,2.9
200704,1.96,1.65,2.77,5.1,4.21,3.81
200705,4.11,4.38,2.93,3.54,3.3,4.05
200706,-1.83,-0.84,-0.86,-1.55,-1.71,-1.5
200707,-7.64,-5.16,-4.92,-4.73,-3.35,-1.57
200708,1.28,1.39,1.12,1.83,1.06,2.2
200709,-0.41,0.43,4.12,1.54,3.15,6.26
200710,-0.95,2.29,3.89,-1.3,2.44,3.9
200711,-8.29,-6.56,-8,-6.11,-3.41,-4.43
200712,-2.37,-0.84,1.02,-7.42,-1.94,2.45
200801,-3.11,-6.32,-10.69,-1.27,-3.82,-9.19
200802,-6.04,-3.54,-2.49,-9.45,-3.59,-0.78
200803,-2.5,1.48,-0.91,-6.76,-0.51,0.18
200804,2.86,2.81,4.59,8.75,2.32,6.4
200805,3.95,3.94,4.88,-2.8,1.32,2.89
200806,-15.67,-9.72,-5.17,-19.33,-10.21,-4.34
200807,5.06,3.9,1.95,3.55,1.57,-3.6
200808,7.45,4.63,0.64,1.21,2.7,-0.04
200809,-9.83,-6.57,-9.94,-12.16,-6.21,-11.49
200810,-25.73,-20.91,-19.18,-23.81,-15.65,-14.67
200811,-17.18,-13.56,-9.75,-14.47,-4.61,-7.56
200812,9.69,5.19,4.53,4.88,2.26,-0.15
200901,-7.83,-9.82,-12.2,-7.85,-8.09,-7.86
200902,-16.03,-12.21,-12.03,-13.84,-10.11,-9.04
200903,18.58,11.5,7.65,18.68,10.6,5.88
200904,46.43,22.39,9,33.61,13.87,2.44
200905,14.92,3.73,1.3,14.37,5.88,3.02
200906,-0.56,2.95,3.15,-6.01,0.81,1.25
200907,14.39,10.18,8.07,11,7.79,6.22
200908,11.53,3.57,-0.29,8.49,3.16,2.18
200909,10.82,5.66,4.88,6.9,3.61,3.26
200910,-7.98,-5.58,-8.49,-7.07,-1.22,-1.34
200911,2.23,2.19,3.26,6.28,5.56,5.86
200912,8.67,7.11,9.71,-0.46,3.43,4.52
201001,-0.76,-3.44,-4.59,-0.23,-3.37,-7.19
201002,2.99,4.1,6.59,1.54,3.58,5.43
201003,8.24,7.57,9.53,4.44,5.84,10.66
201004,5.81,5.84,8.39,1.04,0.89,4.78
201005,-7.92,-6.89,-7.97,-7.74,-7.89,-8.19
201006,-7.48,-6.64,-10.42,-4.2,-5.66,-6.77
201007,6.07,6.41,9.01,7.29,6.44,8.11
201008,-7.84,-7.51,-7.21,-4.07,-4.58,-4.81
201009,13.31,12.18,13.5,8.8,8.57,11.44
201010,3.44,3.49,4.48,2.14,4.27,4.26
201011,2.44,2.65,4.63,-0.39,-0.3,2.74
201012,10.99,8.31,7.31,7.97,6.04,5.59
201101,-0.66,0.25,0.45,2.72,2.39,1.03
201102,3.68,5.01,6.05,1.75,4.67,3.37
201103,-0.3,2.95,4.32,-0.82,0.44,1.35
201104,1.61,2.62,2.13,2.88,3.35,2.45
201105,-2.13,-1.34,-2.06,-0.58,-1.12,-1.89
201106,-3.63,-1.53,-1.6,-2.58,-1.52,-1.06
201107,-4.34,-3.99,-3.12,-1.5,-2.45,-2.35
201108,-10.04,-7.81,-9.96,-6.36,-4.67,-6.99
201109,-10.87,-10.01,-13.43,-7.43,-6.11,-9.72
201110,15.7,15.23,17.53,14.73,10.46,10.04
201111,-2.58,-0.18,0.28,-4.02,-0.06,0.79
201112,-0.38,1.28,0.15,-2.57,1.59,0.51
201201,11.93,6.47,6.47,12.92,5.08,2.55
201202,3.28,2.54,3.81,5.59,4.14,4.48
201203,1.82,2.92,3.02,2.77,2.29,4.17
201204,-3.31,-1.61,-0.55,-4.45,-0.93,0.3
201205,-10.17,-5.89,-5.18,-12.13,-6.47,-4.13
201206,6.05,4.61,4.16,3.38,4.72,3.15
201207,-4.24,-1.17,-0.34,-0.67,1.03,1.51
201208,4.89,2.54,3.33,4.46,3.53,1.28
201209,4.14,3.12,3.63,4.26,2.33,2.49
201210,-3.26,-2.4,-0.95,-0.37,-1.72,-2.41
201211,1.08,0.81,0.79,-0.21,0.67,1.05
201212,4.94,3.41,2.65,3.84,0.69,0.41
201301,6.25,5.93,6.73,7.57,5.96,3.51
201302,0.88,1.23,1.48,-0.36,1.6,1.63
201303,3.98,5.01,6.27,3.64,3.51,5.21
201304,-0.28,-0.76,-0.16,1.49,1.76,1.8
201305,7.68,4.24,4.8,3.57,2.36,2.41
201306,-0.24,0.38,0.59,-2.65,-0.44,-2.44
201307,7.22,7.36,8.42,4.76,5.1,7.08
201308,-3.2,-2.95,-2.41,-2.25,-2.8,-3.01
201309,5.01,5.83,7.53,1.9,4,5.49
201310,2.16,3.77,2.08,3.46,5.17,3.7
201311,4.75,5.05,4.62,2.45,3.12,3.46
201312,2.93,1.78,2.87,2.87,2.42,2.97
201401,-2.76,-3.66,-2.64,-4.97,-3.31,-1.67
201402,4.05,3.72,5.44,3.94,4.13,6.69
201403,0.59,1.58,-1.26,2.14,1.56,-2.58
201404,-2.52,-3.06,-5.35,2.6,0.76,-2.34
201405,0.55,0.88,-0.45,0.7,2.42,3.46
201406,5.24,5.17,6.25,2.59,1.96,2.95
201407,-6.43,-5.4,-5.91,-0.61,-2.18,-1.37
201408,3.94,4.55,5.51,4.24,4.1,4.31
201409,-6.54,-4.9,-5.73,-1.87,-1.57,-1.68
201410,5.69,7.77,4.77,1.37,2.54,2.17
201411,-0.59,-0.27,0.26,2.84,2.14,3.36
201412,1.49,3.05,2.65,-1.82,0.41,-0.74
201501,-7.42,-4.53,-1.61,-3.29,-4.56,-1.42
201502,9.28,6.35,5.83,7.74,6.21,5.56
201503,-0.61,1.64,2.55,-2.95,-1.65,-0.63
201504,3.07,-2.23,-4.27,5.89,2.06,-1.31
201505,-0.95,0.94,4.54,-2.95,1.12,3.21
201506,-0.84,1.38,2.34,-3.82,-1.84,-0.98
201507,-8.72,-1.43,0.34,-7.38,2.55,3.51
201508,-4.7,-4.43,-6.74,-4.21,-6.33,-6.34
201509,-11.9,-4.41,-4.76,-5.79,-2.17,-2.49
201510,8.8,5.92,4.26,8.7,8.23,6.68
201511,3.01,3.55,4.79,-2,0.52,0.77
201512,-6.63,-4.63,-5.04,-5.69,-2.33,-0.55
201601,-12.29,-9.31,-10.1,-6.02,-5.48,-5.32
201602,3.21,1.39,-1.81,1.7,1.28,-2.04
201603,12.88,8.54,6.2,9.36,7.26,6.01
201604,6.68,1.96,1.92,6.73,1.5,-0.54
201605,-0.03,1.68,1.69,1.09,1.56,2.22
201606,-1.88,-0.95,0.71,-3.26,-1.51,2.43
201607,7.49,5.97,5.05,7.3,3.94,3.07
201608,3.61,2.52,0.62,2.89,0.92,-1.1
201609,2.57,1.39,1.79,-0.77,0.18,0.39
201610,-7.36,-3.71,-4.87,-1.34,-1.42,-2.65
201611,11.6,13.24,10.12,9.54,3.89,1.77
201612,1.75,4.02,1.2,1.22,2.25,1.25
201701,1.91,-0.53,0.59,2.38,2,1.83
201702,2.88,1.46,0.98,4.2,3.68,2.8
201703,1.52,0.89,-0.29,-0.13,0.54,-0.36
201704,0.51,1.91,1.07,0.55,1.42,0.94
201705,-2.78,-2.35,-2.58,0.05,1.15,2.81
201706,3.84,3.87,4.51,1.14,0.63,0.28
201707,-0.12,0.47,1.24,1.53,0.94,3.53
201708,-3.37,-1.18,-0.44,-2.19,0.59,1.41
201709,7.52,7.89,7.07,3.75,2.4,1.56
201710,-2.06,0.55,1.39,-0.76,1.64,4.34
201711,3.32,3.15,2.88,4.6,2.86,3.3
201712,0.94,-1.07,0.94,3.36,1.66,0.29
201801,1.75,2.17,3.98,2.64,4.21,8.52
201802,-5.3,-3.22,-3.38,-6.96,-4.41,-1.72
201803,0.37,1.56,0.39,-0.66,-2.28,-2.93
201804,2.14,0.61,1.12,-1.09,0.54,0.64
201805,5.63,4.94,9.07,-0.45,2.35,3.88
201806,2.37,0.41,1.1,3.07,0.38,-0.37
201807,1.27,1.91,1.35,4.63,4.73,1.73
201808,2.72,3.01,6.39,0.75,1.63,7.66
201809,-2.01,-2.86,-2.43,0.23,0.28,0.72
201810,-11.76,-9.27,-12.03,-5.54,-5.71,-9.25
201811,2.65,1.27,0.84,0.79,3.77,-0.15
201812,-14.21,-11.87,-11.35,-9.91,-9.62,-8.57
201901,17.8,10.02,8.94,16.04,7.74,7.55
201902,4.97,5.8,5.41,2.73,3.16,4.01
201903,-3.34,-3.31,-1.39,0.08,1.03,2.54
201904,3.49,3.99,1.48,6.41,5.32,2.49
201905,-12.62,-8.93,-5.92,-13.28,-7.09,-4.85
201906,7.81,7.5,7.45,10.69,7.31,6.45
201907,-3.13,0.45,2.46,0.59,2.38,0.78
201908,-8.94,-5.66,-3.58,-8.28,-3.79,0.2
201909,5.79,3.98,-2.04,5.59,3.13,-0.21
201910,0.16,3.22,3.47,3.76,3.49,0.75
201911,4.76,4.63,3.63,6.79,4.54,2.6
201912,6.11,3,3.47,3.86,2.59,2.95
202001,-7.21,-4.45,-1.6,-4.34,-0.34,2.01
202002,-8.98,-9.74,-7.64,-5.74,-8.44,-7.89
202003,-25.62,-22.51,-22.79,-24.39,-12.9,-11.28
202004,24.41,13.59,18.38,17.18,13.8,12.75
202005,8.44,4.84,7.22,3.47,5.25,5.54
202006,5.38,3.29,5.21,4.86,-1.32,3.56
202007,-0.06,2.76,4.79,-3,4,7.37
202008,7.88,5.28,4.91,5.11,4.78,9.17
202009,-6.21,-4.61,-1.77,-6.11,-2.08,-4.3
202010,5.65,3.26,2.2,0.01,-1.92,-2.64
202011,26.95,17.04,18.06,26.11,13.64,10.13
202012,11.08,7.44,8.8,6.42,4.65,4.05
202101,5.1,3.87,14.08,0.71,-2.93,0.74
202102,12.81,10.07,6.9,9.57,4.59,-0.3
202103,4.87,4.01,-0.12,6.81,5.95,-0.48
202104,0.42,2.2,1.72,3.74,6.47,4.75
202105,-0.2,1.72,2.36,-0.21,1.03,-1.01
202106,1.94,-0.03,4.35,1.31,3.46,3.3
202107,-3.42,-2.21,-5.27,2.26,2.14,-0.45
202108,0.79,2.36,2.63,1.86,3.3,4.91
202109,-3.02,-2.69,-1.91,-5.09,-4.31,-3.21
202110,1.61,3.36,4.33,4.23,8.34,7.89
202111,-6.29,-2.52,-3.9,-2.89,0.25,-3.52
202112,2.45,4.53,1.98,4.69,5.25,-0.04
202201,-10,-5.48,-10.06,-2.33,-5.79,-7.46
202202,-0.52,1.15,2.53,-1.92,-3.42,-1.44
202203,0.44,0.36,1.59,-0.19,2.58,4.7
202204,-14.57,-7.67,-7.3,-12.22,-7.72,-9.74
202205,-2.66,0.83,1.69,-0.93,0.08,-0.43
202206,-7.43,-5.89,-10.18,-11.59,-8.02,-7.35
202207,11.88,9.79,9.75,14.48,8.73,8.7
202208,-1.31,-2.4,0.27,-4.18,-4.72,-1.66
202209,-11.3,-9.39,-8.72,-11.82,-9.51,-7.37
202210,7.93,11.69,13.42,7.53,6.5,9.96
202211,1.3,3.27,1.92,7.44,6.5,2.86
202212,-7.44,-4.33,-5.14,-10.18,-5.43,-3.4
202301,19.36,9.55,5.48,18.35,6.09,0.2
202302,-4.44,-1.02,-1.51,-0.97,-2.37,-3.6
202303,-6.34,-5.13,-4.58,7.64,2.15,0.93
202304,-3,-2.59,-1.46,0.42,1.24,2.12
202305,-0.44,-2.25,0.81,5.02,-0.73,2.51
202306,7.9,8.21,6.74,10.94,5.6,7.35
202307,9.82,6.1,4.82,5.37,4.25,2.4
202308,-7.89,-5.18,-4.38,-5.19,-1.3,-1.16
202309,-8.18,-4.67,-6.98,-4.75,-4.29,-5.44
202310,-8.01,-5.15,-7.48,-4.7,-2.18,-1.76
202311,9.12,8.08,11.28,7.92,7.77,11.26
202312,16.52,12,12.22,10.46,5.12,3.75
202401,-6.75,-4.21,-2.17,-2.95,0.9,2.83
202402,3.4,2.85,7.45,2.17,3.16,7.95
